,area_type,availability,location,size,society,total_sqft,bath,balcony,price
0,Super built-up  Area,19-Dec,Nizampet,2 BHK,Coomee ,1056,2.0,1.0,39.07
1,Plot  Area,Ready To Move,Hitech City,4 Bedroom,Theanmp,2600,5.0,3.0,120.0
3,Super built-up  Area,Ready To Move,Alwal,3 BHK,Soiewre,1521,3.0,1.0,95.0
5,Super built-up  Area,Ready To Move,Nizampet,2 BHK,DuenaTa,1170,2.0,1.0,38.0
11,Plot  Area,Ready To Move,Hyder Nagar,4 Bedroom,Prrry M,2785,5.0,3.0,295.0
12,Super built-up  Area,Ready To Move,Mehdipatnam,2 BHK,Shncyes,1000,2.0,1.0,38.0
14,Plot  Area,Ready To Move,Narsingi,3 Bedroom,Skityer,2250,3.0,2.0,148.0
15,Super built-up  Area,Ready To Move,Khajaguda Nanakramguda Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5
16,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Prityel,1180,3.0,2.0,48.0
17,Super built-up  Area,Ready To Move,Madhapur,3 BHK,GrrvaGr,1540,3.0,3.0,60.0
18,Super built-up  Area,Ready To Move,Tellapur,3 BHK,PeBayle,2770,4.0,2.0,290.0
21,Super built-up  Area,19-Dec,Hitech City,3 BHK,She 2rk,1755,3.0,1.0,122.0
22,Plot  Area,Ready To Move,Manikonda,4 Bedroom,Soitya ,2800,5.0,2.0,380.0
24,Super built-up  Area,18-Nov,Kukatpally,1 RK,Bhe 2ko,510,1.0,0.0,25.25
26,Super built-up  Area,Ready To Move,Manikonda,2 BHK,Itelaa ,660,1.0,1.0,23.1
28,Super built-up  Area,17-Oct,Tellapur,2 BHK,ViistLa,1151,2.0,2.0,48.77
29,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,KBityo ,1025,2.0,1.0,47.0
30,Super built-up  Area,19-Dec,Kokapet,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0
31,Super built-up  Area,Ready To Move,Hyder Nagar,3 BHK,Prityel,1075,2.0,1.0,35.0
32,Super built-up  Area,Ready To Move,Mehdipatnam,3 BHK,Mahosya,1760,2.0,2.0,123.0
33,Super built-up  Area,Ready To Move,Tellapur,3 BHK,GrrvaGr,1693,3.0,3.0,57.39
35,Super built-up  Area,21-Dec,Khajaguda Nanakramguda Road,2 BHK,PrarePa,700,2.0,1.0,36.0
37,Super built-up  Area,Ready To Move,Madhapur,3 BHK,Dieldli,1724,3.0,2.0,125.0
41,Super built-up  Area,19-Dec,Narsingi,3 BHK,Soini T,1254,3.0,2.0,38.0
42,Super built-up  Area,Ready To Move,Begumpet,1 BHK,Ceove G,600,1.0,0.0,38.0
44,Super built-up  Area,19-Sep,Nizampet,2 BHK,Soazak ,1330.74,2.0,2.0,91.79
46,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,LancyRe,970,2.0,0.0,33.0
